Black,Blue,Brown,Green,Greenyellow,Magenta,Pink,Purple,Red,Tan,Turquoise,Yellow
,Prrc2a,,,,,,,,,Leprotl1,
,Prrc2b,,,,,,,,,Letm1,
,Prrc2c,,,,,,,,,Letmd1,
,Prrg3,,,,,,,,,Lgals1,
,Psd2,,,,,,,,,Lgalsl,
,Psen2,,,,,,,,,Lgi1,
,Psma4,,,,,,,,,Lgr4,
,Psmb7,,,,,,,,,Lhfpl4,
,Psmd10,,,,,,,,,Lhx2,
,Psme2,,,,,,,,,Limd2,
,Psme2b,,,,,,,,,Lin37,
,Psme4,,,,,,,,,Lin7b,
,Psmg3,,,,,,,,,Lin7c,
,Psmg4,,,,,,,,,Lingo1,
,Pspc1,,,,,,,,,Lingo2,
,Psph,,,,,,,,,Lingo3,
,Pstk,,,,,,,,,Lman2,
,Ptbp1,,,,,,,,,Lman2l,
,Ptch1,,,,,,,,,Lmbr1,
,Ptdss2,,,,,,,,,Lmna,
,Pter,,,,,,,,,Lmo1,
,Ptges2,,,,,,,,,Lmo3,
,Ptgr2,,,,,,,,,Lmo4,
,Ptgs1,,,,,,,,,Lmtk2,
,Ptma,,,,,,,,,Lmtk3,
,Ptn,,,,,,,,,Lnpk,
,Ptp4a2,,,,,,,,,Lonp1,
,Ptpdc1,,,,,,,,,Lonp2,
,Ptpn11,,,,,,,,,Lonrf1,
,Ptprb,,,,,,,,,Lpcat1,
,Ptrf,,,,,,,,,Lpl,
,Ptrh2,,,,,,,,,Lrch2,
,Ptrhd1,,,,,,,,,Lrfn1,
,Pts,,,,,,,,,Lrfn2,
,Pttg1ip,,,,,,,,,Lrfn3,
,Pum2,,,,,,,,,Lrfn4,
,Pura,,,,,,,,,Lrfn5,
,Purg,,,,,,,,,Lrp11,
,Pwwp2a,,,,,,,,,Lrp12,
,Pxk,,,,,,,,,Lrp3,
,Pxmp4,,,,,,,,,Lrp6,
,Pycrl,,,,,,,,,Lrpap1,
,Pygb,,,,,,,,,Lrpprc,
,Pygo1,,,,,,,,,Lrrc14,
,Pyurf,,,,,,,,,Lrrc28,
,Qars,,,,,,,,,Lrrc4,
,Qpct,,,,,,,,,Lrrc40,
,Qser1,,,,,,,,,Lrrc41,
,R3hcc1,,,,,,,,,Lrrc4c,
,RP23-114G13.7,,,,,,,,,Lrrc57,
,RP23-115A18.3,,,,,,,,,Lrrc7,
,RP23-128C4.4,,,,,,,,,Lrrc8b,
,RP23-134M7.2,,,,,,,,,Lrrc8d,
,RP23-143D12.3,,,,,,,,,Lrrfip1,
,RP23-149L23.1,,,,,,,,,Lrrfip2,
,RP23-157N5.1,,,,,,,,,Lrrk2,
,RP23-179D3.3,,,,,,,,,Lrrn2,
,RP23-288C18.3,,,,,,,,,Lrrn3,
,RP23-345N8.5,,,,,,,,,Lrrtm1,
,RP23-396N20.1,,,,,,,,,Lrrtm2,
,RP23-416I23.9,,,,,,,,,Lrrtm3,
,RP23-424C4.8,,,,,,,,,Lrrtm4,
,RP23-434A12.2,,,,,,,,,Lrsam1,
,RP23-43M12.2,,,,,,,,,Lsm11,
,RP23-65J2.1,,,,,,,,,Lsm14a,
,RP23-65M10.2,,,,,,,,,Lsm14b,
,RP23-6C18.3,,,,,,,,,Lsm2,
,RP23-77B14.2,,,,,,,,,Lsm4,
,RP24-226N22.2,,,,,,,,,Lsm7,
,RP24-243A15.3,,,,,,,,,Lsm8,
,RP24-243A15.4,,,,,,,,,Lta4h,
,RP24-275P22.2,,,,,,,,,Ltbp4,
,RP24-347C6.4,,,,,,,,,Ltn1,
,RP24-418P10.4,,,,,,,,,Luc7l3,
,Rab10os,,,,,,,,,Lurap1l,
,Rab14,,,,,,,,,Luzp1,
,Rab21,,,,,,,,,Lypd1,
,Rab22a,,,,,,,,,Lypd6,
,Rab23,,,,,,,,,Lypla2,
,Rab30,,,,,,,,,Lyrm4,
,Rab31,,,,,,,,,Lysmd2,
,Rab33b,,,,,,,,,Lztfl1,
,Rab36,,,,,,,,,Lztr1,
,Rab39b,,,,,,,,,Lzts1,
,Rab3a,,,,,,,,,Lzts3,
,Rab8a,,,,,,,,,M6pr,
,Rab9,,,,,,,,,Macrod2,
,Rabif,,,,,,,,,Maea,
,Rack1,,,,,,,,,Maf1,
,Rad17,,,,,,,,,Mafg,
,Rad21,,,,,,,,,Magee1,
,Rad51d,,,,,,,,,Mageh1,
,Ralb,,,,,,,,,Magi1,
,Ralgapa1,,,,,,,,,Magi2,
,Ralgapa2,,,,,,,,,Magi3,
,Ralgds,,,,,,,,,Magoh,
,Ralgps2,,,,,,,,,Mak16,
,Ramp1,,,,,,,,,Mal2,
,Ranbp1,,,,,,,,,Man1a,
,Ranbp10,,,,,,,,,Man1a2,
,Rapgef3,,,,,,,,,Man1b1,
,Rapgef4,,,,,,,,,Man1c1,
,Rapgef6,,,,,,,,,Man2a2,
,Rarres2,,,,,,,,,Man2c1,
,Rasa2,,,,,,,,,Manbal,
,Rasa3,,,,,,,,,Maneal,
,Rasal2,,,,,,,,,Map1s,
,Rasgrp2,,,,,,,,,Map2k1,
,Rasgrp3,,,,,,,,,Map2k2,
,Rasl10a,,,,,,,,,Map2k5,
,Rassf3,,,,,,,,,Map2k7,
,Rassf5,,,,,,,,,Map3k10,
,Rassf8,,,,,,,,,Map3k12,
,Raver2,,,,,,,,,Map3k4,
,Rb1,,,,,,,,,Map3k5,
,Rbbp9,,,,,,,,,Map3k7,
,Rbl2,,,,,,,,,Map3k9,
,Rbm12b2,,,,,,,,,Map4k3,
,Rbm25,,,,,,,,,Map6d1,
,Rbm26,,,,,,,,,Map9,
,Rbm39,,,,,,,,,Mapk1,
,Rbm45,,,,,,,,,Mapk11,
,Rbm4b,,,,,,,,,Mapk14,
,Rbms1,,,,,,,,,Mapk1ip1l,
,Rbms3,,,,,,,,,Mapk3,
,Rbp1,,,,,,,,,Mapk4,
,Rbpj,,,,,,,,,Mapk6,
,Rc3h1,,,,,,,,,Mapk8,
,Rc3h2,,,,,,,,,Mapkap1,
,Rcan3,,,,,,,,,Mapkbp1,
,Rcbtb1,,,,,,,,,Mapre1,
,Rcbtb2,,,,,,,,,Marc2,
,Rchy1,,,,,,,,,March5,
,Rcor1,,,,,,,,,March6,
,Rcor3,,,,,,,,,March7,
,Rdh11,,,,,,,,,March9,
,Rdh13,,,,,,,,,Marcks,
,Rdh14,,,,,,,,,Marcksl1,
,Rdx,,,,,,,,,Mark1,
,Recql,,,,,,,,,Mark2,
,Reep3,,,,,,,,,Mark3,
,Rela,,,,,,,,,Mark4,
,Rell1,,,,,,,,,Mars,
,Relt,,,,,,,,,Mas1,
,Repin1,,,,,,,,,Mast1,
,Reps1,,,,,,,,,Mast2,
,Retsat,,,,,,,,,Mast3,
,Rev1,,,,,,,,,Mat2b,
,Rev3l,,,,,,,,,Matk,
,Rfc1,,,,,,,,,Matn2,
,Rfesd,,,,,,,,,Max,
,Rflnb,,,,,,,,,Mbd2,
,Rftn2,,,,,,,,,Mbd3,
,Rfwd2,,,,,,,,,Mblac2,
,Rfx4,,,,,,,,,Mboat7,
,Rfx5,,,,,,,,,Mbtps1,
,Rfx7,,,,,,,,,Mbtps2,
,Rgcc,,,,,,,,,Mcf2l,
,Rgl2,,,,,,,,,Mcfd2,
,Rgma,,,,,,,,,Mcl1,
,Rgs2,,,,,,,,,Mcmbp,
,Rgs5,,,,,,,,,Mcoln1,
,Rgs6,,,,,,,,,Mcrs1,
,Rhbdd3,,,,,,,,,Mctp1,
,Rheb,,,,,,,,,Mcts1,
,Rhoa,,,,,,,,,Mcts2,
,Rhob,,,,,,,,,Mcur1,
,Rhobtb3,,,,,,,,,Mdm2,
,Rhoc,,,,,,,,,Mdp1,
,Rhof,,,,,,,,,Me3,
,Rhoq,,,,,,,,,Mea1,
,Rhou,,,,,,,,,Meaf6,
,Ric1,,,,,,,,,Mecp2,
,Rictor,,,,,,,,,Med1,
,Rif1,,,,,,,,,Med10,
,Rin2,,,,,,,,,Med12l,
,Riok1,,,,,,,,,Med14,
,Riok3,,,,,,,,,Med15,
,Rit1,,,,,,,,,Med16,
,Rlbp1,,,,,,,,,Med19,
,Rlim,,,,,,,,,Med20,
,Rmi1,,,,,,,,,Med22,
,Rmnd1,,,,,,,,,Med23,
,Rn7s1,,,,,,,,,Med24,
,Rn7s2,,,,,,,,,Med25,
,Rnase4,,,,,,,,,Med27,
,Rnaseh2a,,,,,,,,,Med28,
,Rnaseh2b,,,,,,,,,Med31,
,Rnaset2a,,,,,,,,,Med4,
,Rnaset2b,,,,,,,,,Med6,
,Rnd2,,,,,,,,,Med7,
,Rnf123,,,,,,,,,Med8,
,Rnf128,,,,,,,,,Mef2c,
,Rnf130,,,,,,,,,Mef2d,
,Rnf138,,,,,,,,,Meis3,
,Rnf141,,,,,,,,,Memo1,
,Rnf144a,,,,,,,,,Men1,
,Rnf150,,,,,,,,,Mepce,
,Rnf166,,,,,,,,,Mesdc2,
,Rnf181,,,,,,,,,Mest,
,Rnf182,,,,,,,,,Metap1,
,Rnf20,,,,,,,,,Metap2,
,Rnf214,,,,,,,,,Mettl23,
,Rnf215,,,,,,,,,Mettl26,
,Rnf25,,,,,,,,,Mettl9,
,Rnf7,,,,,,,,,Mex3b,
,Rnft2,,,,,,,,,Mex3c,
,Rngtt,,,,,,,,,Mfap1a,
,Rnh1,,,,,,,,,Mfap1b,
,Rnpepl1,,,,,,,,,Mfap3,
,Robo1,,,,,,,,,Mfge8,
,Rock1,,,,,,,,,Mfsd13a,
,Rorb,,,,,,,,,Mfsd14a,
,Rpa1,,,,,,,,,Mfsd5,
,Rpl10,,,,,,,,,Mga,
,Rpl10-ps3,,,,,,,,,Mgat1,
,Rpl10a,,,,,,,,,Mgat3,
,Rpl10a-ps1,,,,,,,,,Mgat4a,
,Rpl10a-ps2,,,,,,,,,Mgat4b,
,Rpl12-ps1,,,,,,,,,Mgat5b,
,Rpl13-ps6,,,,,,,,,Mgea5,
,Rpl13a-ps1,,,,,,,,,Mgll,
,Rpl14,,,,,,,,,Mgrn1,
,Rpl14-ps1,,,,,,,,,Mia2,
,Rpl15-ps1,,,,,,,,,Mia3,
,Rpl15-ps3,,,,,,,,,Miat,
,Rpl15-ps5,,,,,,,,,Mib1,
,Rpl17-ps8,,,,,,,,,Mib2,
,Rpl18,,,,,,,,,Mical2,
,Rpl18-ps1,,,,,,,,,Mical3,
,Rpl18-ps2,,,,,,,,,Micu1,
,Rpl18a-ps1,,,,,,,,,Micu3,
,Rpl19-ps1,,,,,,,,,Mief1,
,Rpl19-ps11,,,,,,,,,Mier2,
,Rpl19-ps12,,,,,,,,,Mif,
,Rpl19-ps4,,,,,,,,,Mif-ps3,
,Rpl19-ps9,,,,,,,,,Miga1,
,Rpl21,,,,,,,,,Mink1,
,Rpl21-ps10,,,,,,,,,Minpp1,
,Rpl21-ps11,,,,,,,,,Mipep,
,Rpl21-ps7,,,,,,,,,Mir124a-1hg,
,Rpl21-ps8,,,,,,,,,Mir22hg,
,Rpl22,,,,,,,,,Mir9-3hg,
,Rpl22-ps1,,,,,,,,,Mkks,
,Rpl23,,,,,,,,,Mkl1,
,Rpl23a,,,,,,,,,Mkl2,
,Rpl23a-ps3,,,,,,,,,Mkln1,
,Rpl23a-ps5,,,,,,,,,Mknk1,
,Rpl24,,,,,,,,,Mkrn1,
,Rpl26-ps2,,,,,,,,,Mlec,
,Rpl26-ps4,,,,,,,,,Mlip,
,Rpl27,,,,,,,,,Mllt1,
,Rpl27-ps1,,,,,,,,,Mlst8,
,Rpl27-ps2,,,,,,,,,Mlx,
,Rpl27-ps3,,,,,,,,,Mmaa,
,Rpl27a-ps2,,,,,,,,,Mmachc,
,Rpl28,,,,,,,,,Mmd,
,Rpl28-ps1,,,,,,,,,Mmgt1,
,Rpl28-ps3,,,,,,,,,Mmp17,
,Rpl3,,,,,,,,,Mmp24,
,Rpl3-ps1,,,,,,,,,Mn1,
,Rpl3-ps2,,,,,,,,,Mnat1,
,Rpl30-ps5,,,,,,,,,Mnt,
,Rpl31-ps1,,,,,,,,,Mob1b,
,Rpl31-ps10,,,,,,,,,Mob4,
,Rpl31-ps11,,,,,,,,,Mocs2,
,Rpl31-ps13,,,,,,,,,Mocs3,
,Rpl31-ps14,,,,,,,,,Mogs,
,Rpl31-ps15,,,,,,,,,Mon2,
,Rpl31-ps16,,,,,,,,,Morc2a,
,Rpl31-ps17,,,,,,,,,Morc3,
,Rpl31-ps20,,,,,,,,,Morf4l2,
,Rpl31-ps4,,,,,,,,,Morn4,
,Rpl31-ps6,,,,,,,,,Mpdz,
,Rpl31-ps8,,,,,,,,,Mphosph10,
,Rpl31-ps9,,,,,,,,,Mphosph8,
,Rpl32,,,,,,,,,Mpi,
,Rpl32-ps,,,,,,,,,Mpnd,
,Rpl35a-ps2,,,,,,,,,Mpp1,
,Rpl35a-ps5,,,,,,,,,Mpp2,
,Rpl35a-ps6,,,,,,,,,Mpp3,
,Rpl35a-ps7,,,,,,,,,Mpped1,
,Rpl36-ps10,,,,,,,,,Mpped2,
,Rpl36-ps2,,,,,,,,,Mprip,
,Rpl36-ps3,,,,,,,,,Mpv17l,
,Rpl36a,,,,,,,,,Mras,
,Rpl36a-ps1,,,,,,,,,Mrfap1,
,Rpl36a-ps2,,,,,,,,,Mrpl1,
,Rpl36a-ps3,,,,,,,,,Mrpl11,
,Rpl36al,,,,,,,,,Mrpl13,
,Rpl37a,,,,,,,,,Mrpl14,
,Rpl39,,,,,,,,,Mrpl17,
,Rpl5,,,,,,,,,Mrpl19,
,Rpl5-ps1,,,,,,,,,Mrpl2,
,Rpl5-ps2,,,,,,,,,Mrpl20,
,Rpl6,,,,,,,,,Mrpl21,
,Rpl6l,,,,,,,,,Mrpl23-ps1,
,Rpl7,,,,,,,,,Mrpl27,
,Rpl7-ps7,,,,,,,,,Mrpl28,
,Rpl7a,,,,,,,,,Mrpl3,
,Rpl7a-ps10,,,,,,,,,Mrpl30,
,Rpl8,,,,,,,,,Mrpl32,
,Rpl9-ps1,,,,,,,,,Mrpl36,
,Rpl9-ps4,,,,,,,,,Mrpl37,
,Rpl9-ps6,,,,,,,,,Mrpl38,
,Rpl9-ps7,,,,,,,,,Mrpl39,
,Rplp0,,,,,,,,,Mrpl4,
,Rplp1-ps1,,,,,,,,,Mrpl40,
,Rpp25l,,,,,,,,,Mrpl41,
,Rpp30,,,,,,,,,Mrpl42,
,Rprd1b,,,,,,,,,Mrpl43,
,Rprm,,,,,,,,,Mrpl44,
,Rps11-ps1,,,,,,,,,Mrpl45,
,Rps11-ps2,,,,,,,,,Mrpl46,
,Rps11-ps3,,,,,,,,,Mrpl47,
,Rps11-ps4,,,,,,,,,Mrpl48,
,Rps11-ps5,,,,,,,,,Mrpl48-ps,
,Rps12-ps1,,,,,,,,,Mrpl49,
,Rps12-ps4,,,,,,,,,Mrpl50,
,Rps13,,,,,,,,,Mrpl51,
,Rps13-ps1,,,,,,,,,Mrpl54,
,Rps13-ps2,,,,,,,,,Mrpl55,
,Rps13-ps4,,,,,,,,,Mrpl57,
,Rps13-ps5,,,,,,,,,Mrpl58,
,Rps14,,,,,,,,,Mrps10,
,Rps15a,,,,,,,,,Mrps11,
,Rps15a-ps1,,,,,,,,,Mrps12,
,Rps15a-ps3,,,,,,,,,Mrps14,
,Rps15a-ps4,,,,,,,,,Mrps16,
,Rps15a-ps5,,,,,,,,,Mrps17,
,Rps15a-ps6,,,,,,,,,Mrps18a,
,Rps15a-ps8,,,,,,,,,Mrps18b,
,Rps18-ps1,,,,,,,,,Mrps18c,
,Rps18-ps3,,,,,,,,,Mrps2,
,Rps19-ps11,,,,,,,,,Mrps21,
,Rps2,,,,,,,,,Mrps22,
,Rps2-ps9,,,,,,,,,Mrps23,
,Rps25,,,,,,,,,Mrps24,
,Rps25-ps1,,,,,,,,,Mrps25,
,Rps26,,,,,,,,,Mrps26,
,Rps26-ps1,,,,,,,,,Mrps30,
,Rps27-ps1,,,,,,,,,Mrps31,
,Rps27a-ps1,,,,,,,,,Mrps33,
,Rps27a-ps2,,,,,,,,,Mrps34,
,Rps27l,,,,,,,,,Mrps36,
,Rps27rt,,,,,,,,,Mrps36-ps1,
,Rps3a1,,,,,,,,,Mrps7,
,Rps3a2,,,,,,,,,Mrps9,
,Rps3a3,,,,,,,,,Mrrf,
,Rps4x-ps,,,,,,,,,Mrto4,
,Rps6,,,,,,,,,Msantd4,
,Rps6-ps1,,,,,,,,,Msl1,
,Rps6-ps2,,,,,,,,,Msl3l2,
,Rps6-ps3,,,,,,,,,Msmo1,
,Rps6-ps4,,,,,,,,,Msra,
,Rps6ka4,,,,,,,,,Msrb2,
,Rps6kb1,,,,,,,,,Mta1,
,Rps8,,,,,,,,,Mta2,
,Rps8-ps1,,,,,,,,,Mtch2,
,Rps8-ps2,,,,,,,,,Mtcl1,
,Rps8-ps4,,,,,,,,,Mtf2,
,Rpsa-ps1,,,,,,,,,Mtfp1,
,Rpsa-ps10,,,,,,,,,Mtg1,
,Rpsa-ps11,,,,,,,,,Mthfd1,
,Rpsa-ps12,,,,,,,,,Mthfsd,
,Rpsa-ps2,,,,,,,,,Mtif3,
,Rpsa-ps4,,,,,,,,,Mtmr12,
,Rpsa-ps5,,,,,,,,,Mtmr3,
,Rrbp1,,,,,,,,,Mtmr4,
,Rreb1,,,,,,,,,Mtmr6,
,Rrm1,,,,,,,,,Mtmr7,
,Rrm2b,,,,,,,,,Mto1,
,Rrnad1,,,,,,,,,Mtor,
,Rrp7a,,,,,,,,,Mtpn,
,Rrs1,,,,,,,,,Mtrr,
,Rsbn1l,,,,,,,,,Mtus2,
,Rsf1,,,,,,,,,Mtx1,
,Rsl24d1,,,,,,,,,Mtx2,
,Rsph3a,,,,,,,,,Mul1,
,Rsph3b,,,,,,,,,Mvb12b,
,Rsrp1,,,,,,,,,Mvd,
,Rsu1,,,,,,,,,Myadm,
,Rtkn,,,,,,,,,Mydgf,
,Rtn4r,,,,,,,,,Myg1,
,Rubcn,,,,,,,,,Myh10,
,Rufy3,,,,,,,,,Myh9,
,Ruvbl1,,,,,,,,,Myl12a,
,Ruvbl2,,,,,,,,,Myl4,
,Rxra,,,,,,,,,Myl6,
,Rxrb,,,,,,,,,Mylk,
,Ryk,,,,,,,,,Myo18a,
,S100a13,,,,,,,,,Myo5b,
,Safb2,,,,,,,,,Myo9a,
,Samd1,,,,,,,,,Myrip,
,Samd4,,,,,,,,,Myt1l,
,Sap130,,,,,,,,,Mzt1,
,Sap30bp,,,,,,,,,Mzt2,
,Sat1,,,,,,,,,N4bp1,
,Sav1,,,,,,,,,N4bp2l1,
,Sbf2,,,,,,,,,Naa10,
,Scaf11,,,,,,,,,Naa15,
,Scamp2,,,,,,,,,Naa20,
,Scara3,,,,,,,,,Naa30,
,Scarb2,,,,,,,,,Naa35,
,Scfd1,,,,,,,,,Naa38,
,Scly,,,,,,,,,Naa50,
,Scoc,,,,,,,,,Naa60,
,Scp2,,,,,,,,,Nab2,
,Scp2-ps2,,,,,,,,,Nabp2,
,Scrg1,,,,,,,,,Naca,
,Scrib,,,,,,,,,Nacc1,
,Sdc2,,,,,,,,,Nadk,
,Sdc4,,,,,,,,,Nae1,
,Sdccag8,,,,,,,,,Nagk,
,Sdhaf3,,,,,,,,,Nalcn,
,Sdhc,,,,,,,,,Nampt,
,Sdpr,,,,,,,,,Nanos1,
,Sec16a,,,,,,,,,Nanp,
,Sec22a,,,,,,,,,Nap1l1,
,Sec23b,,,,,,,,,Nap1l4,
,Sec24a,,,,,,,,,Narfl,
,Sec61b,,,,,,,,,Nat14,
,Sec61g,,,,,,,,,Nav1,
,Sec63,,,,,,,,,Nbea,
,Secisbp2l,,,,,,,,,Nbl1,
,Selenof,,,,,,,,,Nbr1,
,Selenom,,,,,,,,,Ncald,
,Selenon,,,,,,,,,Ncan,
,Selenot,,,,,,,,,Ncaph2,
,Selplg,,,,,,,,,Ncbp2,
,Sema3c,,,,,,,,,Nckap1,
,Sema6d,,,,,,,,,Nckipsd,
,Senp6,,,,,,,,,Ncln,
,Senp7,,,,,,,,,Ncoa1,
,Sephs1,,,,,,,,,Ncoa4,
,Sephs2,,,,,,,,,Ncoa5,
,Sept7,,,,,,,,,Ncoa7,
,Serinc5,,,,,,,,,Ncor2,
,Serpinh1,,,,,,,,,Ncs1,
,Sesn3,,,,,,,,,Ncstn,
,Set,,,,,,,,,Ndel1,
,Setd1b,,,,,,,,,Ndfip2,
,Setd5,,,,,,,,,Ndufa8,
,Setd7,,,,,,,,,Ndufa9,
,Sf3b2,,,,,,,,,Ndufab1,
,Sfswap,,,,,,,,,Ndufab1-ps,
,Sft2d2,,,,,,,,,Ndufaf1,
,Sfxn5,,,,,,,,,Ndufaf3,
,Sgce,,,,,,,,,Ndufaf4,
,Sgms1,,,,,,,,,Ndufaf7,
,Sgpl1,,,,,,,,,Ndufb3,
,Sh2b3,,,,,,,,,Ndufb4,
,Sh3bgrl2,,,,,,,,,Ndufs1,
,Sh3bp4,,,,,,,,,Ndufs4,
,Sh3gl3,,,,,,,,,Ndufs5,
,Sh3glb1,,,,,,,,,Necab1,
,Sh3kbp1,,,,,,,,,Necab2,
,Sh3pxd2a,,,,,,,,,Necap1,
,Shank1,,,,,,,,,Nectin1,
,Sharpin,,,,,,,,,Nectin3,
,Shd,,,,,,,,,Nedd4l,
,Shprh,,,,,,,,,Negr1,
,Shtn1,,,,,,,,,Nek6,
,Siae,,,,,,,,,Nelfa,
,Siah1a,,,,,,,,,Nelfcd,
,Siglech,,,,,,,,,Nell2,
,Sil1,,,,,,,,,Neo1,
,Sin3a,,,,,,,,,Net1,
,Sipa1l2,,,,,,,,,Neto1,
,Skap2,,,,,,,,,Neto2,
,Skiv2l,,,,,,,,,Neurl1a,
,Slain2,,,,,,,,,Neurl1b,
,Slc11a2,,,,,,,,,Neurl4,
,Slc14a1,,,,,,,,,Neurod1,
,Slc15a2,,,,,,,,,Neurod2,
,Slc15a4,,,,,,,,,Neurod6,
,Slc19a2,,,,,,,,,Nf2,
,Slc1a3,,,,,,,,,Nfat5,
,Slc20a2,,,,,,,,,Nfib,
,Slc25a20,,,,,,,,,Nfkbib,
,Slc25a25,,,,,,,,,Nfs1,
,Slc25a27,,,,,,,,,Nfu1,
,Slc25a28,,,,,,,,,Nfx1,
,Slc25a29,,,,,,,,,Nfyb,
,Slc25a37,,,,,,,,,Nfyc,
,Slc25a38,,,,,,,,,Ngef,
,Slc27a1,,,,,,,,,Ngrn,
,Slc29a4,,,,,,,,,Nhlrc1,
,Slc2a8,,,,,,,,,Nhp2,
,Slc30a1,,,,,,,,,Nhsl1,
,Slc30a10,,,,,,,,,Nhsl2,
,Slc30a4,,,,,,,,,Nicn1,
,Slc30a9,,,,,,,,,Nif3l1,
,Slc31a1,,,,,,,,,Nifk,
,Slc35a3,,,,,,,,,Nim1k,
,Slc35a5,,,,,,,,,Nin,
,Slc35b2,,,,,,,,,Nip7,
,Slc35e1,,,,,,,,,Nipa2,
,Slc35e4,,,,,,,,,Nipal3,
,Slc35f5,,,,,,,,,Nipsnap1,
,Slc35g2,,,,,,,,,Nipsnap3b,
,Slc38a10,,,,,,,,,Nit1,
,Slc38a3,,,,,,,,,Nkiras1,
,Slc38a9,,,,,,,,,Nkrf,
,Slc39a13,,,,,,,,,Nlgn1,
,Slc39a14,,,,,,,,,Nlgn2,
,Slc41a1,,,,,,,,,Nlgn3,
,Slc43a2,,,,,,,,,Nlk,
,Slc44a2,,,,,,,,,Nmd3,
,Slc4a2,,,,,,,,,Nmt1,
,Slc4a4,,,,,,,,,Nmt2,
,Slc5a6,,,,,,,,,Nnt,
,Slc6a8,,,,,,,,,Nob1,
,Slc7a11,,,,,,,,,Noc2l,
,Slc9a3r1,,,,,,,,,Noc4l,
,Slc9a3r2,,,,,,,,,Noct,
,Slc9a8,,,,,,,,,Nog,
,Slco1a4,,,,,,,,,Nol11,
,Slco1c1,,,,,,,,,Nol3,
,Slco3a1,,,,,,,,,Nol4,
,Slf1,,,,,,,,,Nol4l,
,Sltm,,,,,,,,,Nol6,
,Slu7,,,,,,,,,Nol7,
,Smad1,,,,,,,,,Nolc1,
,Smad5,,,,,,,,,Nomo1,
,Smad7,,,,,,,,,Nono,
,Smarca1,,,,,,,,,Nop10,
,Smarca5,,,,,,,,,Nop16,
,Smarcad1,,,,,,,,,Nop58,
,Smarcal1,,,,,,,,,Nos1ap,
,Smc3,,,,,,,,,Nosip,
,Smc6,,,,,,,,,Nov,
,Smdt1,,,,,,,,,Nova2,
,Smg1,,,,,,,,,Npas2,
,Smg9,,,,,,,,,Npepps,
,Smim1,,,,,,,,,Nploc4,
,Smim20,,,,,,,,,Nprl2,
,Smox,,,,,,,,,Nprl3,
,Smpdl3a,,,,,,,,,Nptx1,
,Smurf1,,,,,,,,,Nptx2,
,Smurf2,,,,,,,,,Nptxr,
,Snap23,,,,,,,,,Npy,
,Snap29,,,,,,,,,Npy1r,
,Snapc4,,,,,,,,,Npy2r,
,Snapin,,,,,,,,,Nr2f1,
,Snhg11,,,,,,,,,Nr3c1,
,Snhg14,,,,,,,,,Nr3c2,
,Snhg20,,,,,,,,,Nr4a1,
,Snhg3,,,,,,,,,Nr4a2,
,Snhg4,,,,,,,,,Nr4a3,
,Snhg9,,,,,,,,,Nrcam,
,Snip1,,,,,,,,,Nrep,
,Snrnp70,,,,,,,,,Nrg3,
,Snrpa,,,,,,,,,Nrgn,
,Snta1,,,,,,,,,Nrn1,
,Sntb2,,,,,,,,,Nrp1,
,Snu13,,,,,,,,,Nrp2,
,Snx18,,,,,,,,,Nrxn2,
,Snx21,,,,,,,,,Nsd1,
,Snx24,,,,,,,,,Nsd3,
,Snx27,,,,,,,,,Nsdhl,
,Snx30,,,,,,,,,Nsfl1c,
,Snx6,,,,,,,,,Nsg2,
,Soat1,,,,,,,,,Nsmce3,
,Socs2,,,,,,,,,Nsmce4a,
,Socs4,,,,,,,,,Nsun2,
,Socs6,,,,,,,,,Nt5c2,
,Son,,,,,,,,,Nt5c3,
,Sorcs1,,,,,,,,,Nt5c3b,
,Sorcs3,,,,,,,,,Nt5dc3,
,Sord,,,,,,,,,Nt5m,
,Sos2,,,,,,,,,Ntan1,
,Sowahc,,,,,,,,,Ntpcr,
,Sox1,,,,,,,,,Ntrk3,
,Sox2,,,,,,,,,Nuak1,
,Sox5,,,,,,,,,Nub1,
,Sox6,,,,,,,,,Nucks1,
,Sox8,,,,,,,,,Nudc,
,Sox9,,,,,,,,,Nudc-ps1,
,Sp3,,,,,,,,,Nudcd1,
,Sp3os,,,,,,,,,Nudcd2,
,Sp4,,,,,,,,,Nudcd3,
,Spag9,,,,,,,,,Nudt10,
,Spats2l,,,,,,,,,Nudt11,
,Spcs1,,,,,,,,,Nudt16l1,
,Specc1,,,,,,,,,Nudt18,
,Specc1l,,,,,,,,,Nudt19,
,Spen,,,,,,,,,Nudt21,
,Spg20,,,,,,,,,Nudt3,
,Spg21,,,,,,,,,Nudt5,
,Spg7,,,,,,,,,Nudt9,
,Spon1,,,,,,,,,Numa1,
,Spopl,,,,,,,,,Numb,
,Spout1,,,,,,,,,Numbl,
,Spred3,,,,,,,,,Nup133,
,Spsb1,,,,,,,,,Nup50,
,Sptlc2,,,,,,,,,Nup62,
,Sptssa,,,,,,,,,Nup88,
,Spty2d1,,,,,,,,,Nus1,
,Srebf1,,,,,,,,,Nutf2,
,Srek1,,,,,,,,,Nvl,
,Srgap1,,,,,,,,,Nwd2,
,Srgn,,,,,,,,,Nxf1,
,Sri,,,,,,,,,Nxph3,
,Srrm2,,,,,,,,,Nyap1,
,Srsf5,,,,,,,,,Nyap2,
,Ss18,,,,,,,,,Oat,
,Ss18l1,,,,,,,,,Ociad2,
